weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2025-08-23T00:00:00.000,Region 9,0.9155,2025-08-23,2025,34
2022-10-15T00:00:00.000,Region 1,0.9095,2022-10-15,2022,41
2022-03-12T00:00:00.000,Region 10,0.9565,2022-03-12,2022,10
2022-03-05T00:00:00.000,Region 4,0.8971,2022-03-05,2022,9
2024-10-05T00:00:00.000,Region 5,0.3726,2024-10-05,2024,40
2023-02-25T00:00:00.000,Region 7,0.9611,2023-02-25,2023,8
2024-10-12T00:00:00.000,Region 7,0.1595,2024-10-12,2024,41
2025-02-08T00:00:00.000,Region 7,0.9427,2025-02-08,2025,6
2022-12-31T00:00:00.000,Region 1,0.9524,2022-12-31,2022,52
2024-10-12T00:00:00.000,Region 1,0.0714,2024-10-12,2024,41
2022-07-02T00:00:00.000,Region 2,0.9277,2022-07-02,2022,26
2021-10-30T00:00:00.000,Region 7,0.7853,2021-10-30,2021,43
2023-09-02T00:00:00.000,Region 7,0.955,2023-09-02,2023,35
2023-12-16T00:00:00.000,Region 7,0.9489,2023-12-16,2023,50
2023-03-18T00:00:00.000,Region 8,0.9694,2023-03-18,2023,11
2023-07-22T00:00:00.000,Region 9,0.9448,2023-07-22,2023,29
2023-12-02T00:00:00.000,Region 9,0.9414,2023-12-02,2023,48
2021-04-10T00:00:00.000,Region 1,0.919,2021-04-10,2021,14
2023-01-07T00:00:00.000,Region 1,0.9524,2023-01-07,2023,1
2022-07-23T00:00:00.000,Region 10,0.9565,2022-07-23,2022,29
2020-08-08T00:00:00.000,Region 2,0.0029,2020-08-08,2020,32
2024-05-25T00:00:00.000,Region 2,0.5173,2024-05-25,2024,21
2025-05-31T00:00:00.000,Region 3,0.8891,2025-05-31,2025,22
2021-07-03T00:00:00.000,Region 4,0.7705,2021-07-03,2021,26
2020-11-07T00:00:00.000,Region 5,0.8137,2020-11-07,2020,45
2022-05-21T00:00:00.000,Region 7,0.9407,2022-05-21,2022,20
2022-06-04T00:00:00.000,Region 7,0.9407,2022-06-04,2022,22
2022-09-24T00:00:00.000,Region 7,0.9366,2022-09-24,2022,38
2024-01-27T00:00:00.000,Region 7,0.9509,2024-01-27,2024,4
2020-09-12T00:00:00.000,Region 8,0.0,2020-09-12,2020,37
2022-04-30T00:00:00.000,Region 8,0.9333,2022-04-30,2022,17
2022-10-08T00:00:00.000,Region 9,0.9155,2022-10-08,2022,40
2023-09-16T00:00:00.000,Region 9,0.9466,2023-09-16,2023,37
2024-10-19T00:00:00.000,Region 9,0.4552,2024-10-19,2024,42
2022-06-18T00:00:00.000,04,0.8586,2022-06-18,2022,24
2021-09-25T00:00:00.000,11,0.8182,2021-09-25,2021,38
2022-03-12T00:00:00.000,11,0.8182,2022-03-12,2022,10
2024-07-13T00:00:00.000,11,0.7273,2024-07-13,2024,28
2020-10-10T00:00:00.000,22,0.0,2020-10-10,2020,41
2023-06-10T00:00:00.000,27,0.9699,2023-06-10,2023,23
2022-02-05T00:00:00.000,34,0.9647,2022-02-05,2022,5
2025-08-09T00:00:00.000,41,0.9194,2025-08-09,2025,32
2021-09-04T00:00:00.000,44,0.5,2021-09-04,2021,35
2024-06-08T00:00:00.000,45,0.3067,2024-06-08,2024,23
2024-10-19T00:00:00.000,04,0.2929,2024-10-19,2024,42
2021-08-28T00:00:00.000,27,0.9398,2021-08-28,2021,34
2024-12-28T00:00:00.000,27,0.9624,2024-12-28,2024,52
2025-08-09T00:00:00.000,27,0.9549,2025-08-09,2025,32
2023-01-07T00:00:00.000,34,0.9765,2023-01-07,2023,1
2025-01-25T00:00:00.000,41,0.9516,2025-01-25,2025,4
2021-01-30T00:00:00.000,45,0.9067,2021-01-30,2021,4
2023-01-21T00:00:00.000,45,0.92,2023-01-21,2023,3
2024-07-20T00:00:00.000,51,0.3366,2024-07-20,2024,29
2021-12-25T00:00:00.000,04,0.798,2021-12-25,2021,51
2024-10-19T00:00:00.000,27,0.391,2024-10-19,2024,42
2022-01-22T00:00:00.000,34,0.7765,2022-01-22,2022,3
2020-11-14T00:00:00.000,41,0.8871,2020-11-14,2020,46
2021-03-06T00:00:00.000,41,0.9677,2021-03-06,2021,9
2022-07-02T00:00:00.000,44,0.9167,2022-07-02,2022,26
2021-03-13T00:00:00.000,51,0.8713,2021-03-13,2021,10
2021-08-21T00:00:00.000,51,0.8713,2021-08-21,2021,33
2022-03-26T00:00:00.000,51,0.8812,2022-03-26,2022,12
2023-11-11T00:00:00.000,51,0.9208,2023-11-11,2023,45
2022-05-07T00:00:00.000,04,0.8586,2022-05-07,2022,18
2023-05-13T00:00:00.000,04,0.8889,2023-05-13,2023,19
2022-01-15T00:00:00.000,22,0.9012,2022-01-15,2022,2
2023-07-08T00:00:00.000,22,0.9321,2023-07-08,2023,27
2024-08-24T00:00:00.000,22,0.4136,2024-08-24,2024,34
